t,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
0.010000,0.000000,0.000000,0.099560,0.000000,0.000000,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.000440,1.445988
0.020000,0.000000,0.000000,0.098148,-0.000000,0.000001,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.001852,1.446965
0.030000,0.000000,0.000000,0.095773,-0.000000,0.000003,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.004227,1.448610
0.040000,0.000000,0.000000,0.092445,-0.000000,0.000006,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.007555,1.450920
0.050000,0.000000,0.000000,0.088171,-0.000000,0.000013,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.011829,1.453891
0.060000,0.000000,0.000000,0.082960,-0.000000,0.000022,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.017040,1.457522
0.070000,0.000000,0.000000,0.076822,-0.000000,0.000035,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.023178,1.461811
0.080000,0.000000,0.000000,0.069765,-0.000000,0.000052,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.030235,1.466760
0.090000,0.000000,0.000000,0.061797,-0.000000,0.000075,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.038203,1.472368
0.100000,0.000000,0.000000,0.052926,-0.000000,0.000103,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.047074,1.478636
0.110000,0.000000,0.000000,0.043162,0.000000,0.000137,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000000,1.056838,1.485566
0.120000,0.000000,-0.000004,0.035000,-0.000000,-0.000001,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000004,1.065000,1.491387
0.130000,0.000000,-0.000014,0.034914,-0.000000,-0.000430,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000014,1.065086,1.491454
0.140000,0.000000,-0.000025,0.034824,-0.000000,-0.000879,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000025,1.065176,1.491526
0.150000,0.000000,-0.000030,0.034803,-0.000000,-0.000987,1.570000,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.300000,1.000030,1.065197,1.491545
